Abdon	30/Jul.
Eugendus ab. Condat.	01/Jan.
Eugenia	15/Avril.
Eugenia v.	15/Mai.
Eugenia v. m. Rom.	11/Sept.;24/Dec.;23/Dec.
Eugenius ep. Tolet. (Tr.)	13/Fev.
Eugenius ep. Tolet. m.	15/Nov.
Eulalia v. Barcin.	30/Mars.
Eulalia v. m. Barcin.	03/Fev.;18/Fev.;12/Fev.
Eulalia v. m. Emerit.	10/Dec.;12/Dec.;09/Dec.
Eulalie v. m. Emerit.	10/Fev.
Eulogius mm. Tarrac.	21/Jan.;22/Jan.
Eupergius cf.	14/Mars.
Euphemia v.	03/Jan.
Euphemia v. m. Chalced.	13/Avril.;16/Sept.
Euphemia v. m. in Paphlag.	15/Mars.;16/Mars.
Euphemia v. m. Mediolan.	27/Nov.
Euphrasia v.Theb.	11/Fev.;13/Mars.
Euphrasius	14/Jan.
Euphronius ep. Aeduen.	07/Août.
Euphrosyne	07/Jul.;18/Jul.
Euplus m. Catan.	12/Août.
Eusebius	25/Août.
Eusebius ab. in Aeg.	17/Fev.
Eusebius cf. Cremon.	05/Mars.
Eusebius ep. Caesar.	21/Jun.
Eusebius ep. Vercell.	02/Août.;04/Août.;01/Août.
Eusebius m. Comps.	30/Oct.
Eusebius m. Nicomed.	07/Nov.
Eusebius mm. Terrac.	05/Nov.
Eusebius pb. cf.	02/Oct.
Eusebius pb. Rom.	14/Août.
Euspicius mon. Miciac.	20/Jul.
Eustachius	02/Nov.;06/Nov.;09/Nov.;01/Nov.;04/Nov.;03/Nov.;20/Sept.
Eustachius ep. Antioch. cf.	16/Jul.;15/Jul.
Eustachius mm.	19/Mai.
Eustadius ep.	31/Jan.
Eustasius ab. Luxov.	29/Mars.;29/Avril.;28/Mars.
Eustasius ep. [Neapol.?]	09/Mai.
Eustochius ep. Turon.	19/Sept.
Eustratius	13/Dec.
Eutropie v. m. Rem.	14/Dec.
Eutropius ep. Araus.	27/Mai.
Eutropius ep. Xanton.	14/Oct.;30/Avril.
Eutychianus pb. m.	25/Jul.
Evagrius	03/Avril.
Evaristi pp. m.	26/Oct.
Evaristus pp.	27/Oct.
Evencii	04/Mai.
Eventius	03/Mai.
Eventius ep. Patav.	12/Sept.
Eventius ep. [Ticin.?]	04/Fev.
Evodus ep. Rotomag.	08/Oct.
Evregisilus ep. Colon.	24/Oct.
Evremundus ab. in Normand.	10/Jun.
Evurtius ep. Aurelian.	07/Sept.
Ewaldi II mm.	03/Oct.
Exuperantii m.	30/Dec.
Exuperius  m. [e Leg.Theb.?]	10/Sept.
Exuperius ep. Baioc. (Tr.)	14/Jul.
Exuperius ep. Din.	08/Avril.
Exuperius ep. Tolos.	24/Sept.;28/Sept.;14/Jun.
Ezechiel pph.	10/Avril.
Fabiani pp.	27/Jan.
Fabianus pp.	20/Jan.
Facundus	27/Nov.
Fara v. Meld.	08/Dec.;07/Dec.
Faro ep. Meld.	28/Oct.
Fausta	20/Sept.
Faustini	15/Dec.
Faustini ep. m. (Adv. reliq.)	29/Oct.
Faustinus	22/Mai.;23/Mai.
Faustinus ep.	15/Fev.;25/Fev.;16/Fev.
Faustus	13/Oct.
Febronia v. m. Nisib.	23/Jun.
Felicianus mm. Rom.	09/Jun.
Felicis	28/Jul.;23/Jul.;14/Août.
Felicis cf.	22/Mars.
Felicissimi	07/Août.;04/Août.
Felicissimus	06/Août.
Felicitas etc. mm. in Afr.	09/Mars.;07/Mars.
Felicitas mm. Antioch.	17/Nov.
Felicitas v.	11/Jan.
Felicitas vid.	19/Nov.;23/Nov.
Felicitatis m.	08/Mars.
Felicula v. m. Rom.	13/Jun.
Felicule	14/Fev.
Felicule v. m.	10/Jun.;12/Jun.
Felix	22/Avril.;26/Fev.;23/Avril.;29/Jul.;11/Sept.;05/Nov.;30/Août.
Felix cf.	28/Jan.
Felix ep. Brix.	23/Fev.
Felix ep. Com.	14/Jul.
Felix ep. Lucan.	27/Août.
Felix ep. Mett.	22/Dec.;20/Fev.;21/Fev.
Felix ep. Nol.	27/Jul.
Felix ep. Nola	15/Nov.
Felix ep. Spellat.	18/Mai.
Felix ep. Spolet.	17/Mai.
Felix m. Gerund.	01/Août.
Felix m. Gerund. (Tr.)	19/Mai.
Felix m. in Afr.	03/Mars.
Felix m.Africa	12/Oct.
Felix mm. Aeduen.	24/Sept.
Felix mm. Aeduen. (Oct.)	28/Sept.
Felix mm. Mediolan.	12/Jul.
Felix mm. Mediolan. (Tr.)	18/Avril.;19/Avril.
Felix pb. m. in Afr.	06/Nov.
Felix pb. m. in Pincis	14/Jan.
Felix pp. m.	29/Mai.;31/Mars.;30/Mai.
Ferreolus	06/Sept.;05/Sept.;04/Sept.
Ferreolus m. Bisunt.	16/Mai.
Ferreolus m. Vienn. [vel ep. Lemovic.]	18/Sept.;19/Sept.
Ferreolus pb.	16/Jun.;17/Jun.
Fiacrius er. Meld.	31/Août.
Fidei etc. m.	10/Mai.
Fidelis m. in Afr.	23/Mars.
Fides	02/Août.;29/Août.;01/Jul.
Fides m. Aginn.	06/Oct.;05/Oct.;04/Mai.
Fidolus ab. Trec.	15/Mai.
Fil. VII mm. Rom.	18/Jul.
Findani cf.	14/Nov.
Firmini ep. m.	06/Avril.
Firmini ep. Virdun.	04/Dec.
Firminus ep. Ambian.	25/Sept.
Firminus ep. Ambian. (Inv.)	15/Jan.
Firminus ep. cf.	09/Jul.
Firminus ep. Mimat.	13/Jan.
Firminus ep. Ucet.	11/Oct.
Firminus ep. Virdun.	03/Dec.
Firmus	09/Août.
Flavia v.	22/Jul.
Flavianus m.	16/Jul.
Flavianus m. Rom.	30/Jan.
Flavitus cf. Trec.	18/Dec.
Flavius ep. Nicomed.	07/Mai.
Flora	30/Jul.
Florentia mm. Agath.	10/Nov.
Florentia v.	14/Mars.
Florentia v. m. in Hisp.	20/Jun.
Florentia v. Pictav.	01/Dec.
Florentie v. m.	07/Jul.
Florentii ep. Argentin.	07/Nov.
Florentii ep. Argentin. (Tr.)	03/Avril.
Florentii m.	25/Jul.
Florentinus	27/Sept.
Florentinus cf. Turon.	12/Dec.
Florentius	01/Jun.;03/Jun.
Florentius  m. [soc. Gereonis]	10/Oct.
Florentius ab. M. Glonnae	02/Mai.;23/Sept.;01/Mai.
Florentius ep. [Araus. vel Trever.]	17/Oct.
Florentius m. in Burgund.	27/Oct.
Floriani m.	03/Nov.
Floriani m. (Oct.)	11/Mai.
Florianus	16/Dec.
Floriberti ep. Leod.	25/Avril.
Florina	21/Oct.
Florini cf. Conf. (Oct.)	24/Nov.
Florus ep. Lodov.	04/Nov.
Floscellus	17/Sept.;08/Nov.;26/Avril.
Flosculus ep. Aurelian.	04/Fev.
Foillanus ep. m.	31/Oct.
Fortunata v. m. Caesar.	20/Oct.
Fortunati cf.	02/Sept.
Fortunati ep.	07/Jun.;29/Jun.
Fortunati m.	21/Avril.;21/Mai.;02/Dec.;15/Oct.;06/Jul.
Fortunati m. Aquil. (Oct.)	19/Jul.
Fortunatus ep. ap. Senon.	18/Jun.
Fortunatus ep. Hierosol.	27/Fev.
Fortunatus ep. Neapol.	30/Jun.
Fortunatus ep. Pictav.	14/Dec.;13/Dec.;05/Mai.
Fortunatus m.	26/Mars.
Fortunatus m. in Afr.	10/Avril.
Fortunatus m. Rom.	19/Oct.
Fortunatus mm. Aquil.	11/Jul.
Fortunatus mm. in Afr.	09/Jan.
Frambaldus ab. Silvanect.	23/Août.;16/Août.
Franciscus cf. Assis. OFM	03/Oct.;02/Oct.;04/Oct.
Franciscus cf. Assis. OFM (Tr.)	26/Mai.;25/Mai.
Fraternus ep. Autissiod.	30/Sept.;29/Sept.
Fratres VII fil. Felicitatis	10/Jul.
Fratres XII mm. Benev.	01/Sept.
Fratrum V Polon. [Benedicti	16/Nov.;12/Nov.;25/Août.
Fredegandi ep.	17/Jul.
Fredulfus cf. Xanton.	05/Août.
Fridolinus ab. in Helvet.	05/Mars.;02/Mars.;06/Mars.
Frigdiani ep. Luccen.	18/Nov.
Frodobertus ab. Trec.	07/Jan.
Frontasius m. Petragor.	29/Avril.
Fronto ep. Petragor.	25/Oct.;24/Oct.;01/Oct.;26/Oct.
Fronto ep. Petragor. (Inv.)	30/Avril.
Fructuosus	21/Jan.;22/Jan.
Fructus cf. Segub.	21/Nov.
Fulcrannus ep. Lodov.	13/Fev.
Fulgentius ep.	08/Oct.
Fulgentius ep. cf.	16/Mars.
Fulgentius ep. m. in Afr.	05/Dec.
Fulgentius ep. Rusp.	01/Jan.
Furseus ab.	06/Fev.;09/Fev.;16/Jan.
Fusciani	11/Dec.
Fuscianus m. (Inv.)	27/Jun.
Gabinus pb. Rom.	19/Fev.
Gabriel archang.	01/Avril.;18/Mars.
Gabrielis archang.	20/Mars.;23/Mars.
Gaianus pb. m. in Thrac.	10/Avril.
Gaii pp. m.	22/Avril.
Galdinus ep. Mediolan.	18/Avril.
Gallicanus m. in Aeg.	25/Jun.
Gallus ab. Sangall.	21/Fev.;17/Oct.
Gamalielis	03/Août.
Gandolfi m. Mediolan. [al. Gangolfi]	04/Avril.
Gatianus ep. Turon.	17/Dec.;18/Dec.
Gatianus ep. Turon. (Tr.)	02/Mai.
Gaudentii ep. Curien. m.	02/Août.
Gaudentius ep. Arimin.	14/Oct.
Gaudentius ep. Brix.	04/Août.
Gaudentius m.	01/Jul.
Gaudius m.	27/Avril.
Gaugericus ep. Camerac.	11/Août.
Gaugericus ep. Camerac. (Elev.)	24/Sept.
Gelasius pp.	18/Nov.;19/Nov.;21/Nov.
Geminianus ep. Mutin.	30/Jan.
Geminianus mm. Rom.	16/Sept.
Gemma v. m. Xanton.	20/Jun.
Gendulfus ep. Paris.	13/Nov.;03/Oct.
Genebaldi ep. Laudun.	05/Sept.
Genebaldus ep. Lausan.	04/Sept.
Generosus ab.	16/Jul.;10/Jul.
Genesii m.	20/Avril.;21/Jun.
Genesius ep. Arvern.	03/Jun.
Genesius ep. Lugdun.	01/Nov.
Genesius m. Arelat. vel Rom.	21/Mai.;24/Août.;26/Août.;25/Août.
Gengulfus m. in Burgund.	14/Mai.;13/Mai.
Genovefa v. Paris.	03/Jan.;01/Jan.
Genovefa v. Paris. (Tr.)	28/Oct.;26/Nov.
Genovefe v. Paris.	27/Nov.
Gentianus	11/Dec.;08/Mai.
Genulfus ep. Cadurc.	17/Jan.
Georgii mil. m.	24/Avril.;25/Avril.
Georgius	20/Oct.;27/Août.
Georgius ep. Vellav.	10/Nov.
Georgius m.	23/Avril.
Geraldus ab. in Aquitan.	05/Avril.;10/Sept.
Geraldus comes Aureliac.	13/Oct.;12/Oct.;15/Oct.
Gerardi ep. Csanad. m.	07/Mars.
Gerardi ep. Tull. (Tr.)	21/Oct.
Gerardus Sagredo ep. m.	24/Fev.;23/Fev.
Gereboldus ep. Baioc.	07/Dec.
Geremarus ab. Flaviac. (Tr.)	20/Mai.;19/Mai.
Gereon	10/Oct.
Germanicus m. Smyrn.	19/Jan.
Germanus	30/Mai.
Germanus ep. Autissiod.	31/Jul.;01/Oct.
Germanus ep. Bisunt.	11/Oct.
Germanus ep. Capuan.	30/Oct.;29/Oct.
Germanus ep. Paris.	28/Mai.;27/Mai.
Germanus ep. Paris. (Tr.)	25/Jul.
Germanus ep. [Paris.?]	23/Mai.
Germanus mm. in Hisp.	23/Oct.
Germanus mm. in Hisp. (Tr.)	12/Avril.
Germanus [ep.? pb.?]	30/Avril.;29/Avril.
Germerius ep. Tolos.	16/Mai.
Gertrudis v. Nivigel.	17/Mars.
Gervasius	13/Dec.;19/Jun.
Gervasius d. Cabilon.	06/Jul.
Getulius	10/Jun.
Gibrianus pb. Rem.	07/Mai.
Gildardus ep. (Adv.)	17/Jun.
Gildardus ep. Noviom.	08/Jun.
Gildasius ab. in Armor.	31/Jan.;29/Jan.
Girda v.	01/Août.
Gislebertus ab. Sempring.	04/Fev.
Gislebertus ep. Meld.	17/Fev.
Gislenus cf. in Hannon.	09/Oct.
Glodesinde v. abb. Mett.	24/Jul.
Gloriosus pb. Senon.	03/Fev.
Goar cf.	05/Jul.
Goaris cf. Trever.	11/Jul.
Godoaldus ep. Senon.	07/Jun.
Godonis abb. Oyen.	26/Mai.
Goericus ep. Mett.	19/Sept.
Golvinus ab. in Armor. (Tr.)	23/Août.
Gonsaldus er. in Aquitan.	04/Nov.;05/Nov.
Gordianus	10/Mai.
Gorgonius	08/Sept.;09/Sept.
Gorgonius m. Antioch.	09/Mars.;11/Mars.
Gothardi ep. Hildesh. (Adv.)	09/Dec.
Gothardus ep. Mogunt.	04/Mai.;05/Mai.
Gratianus m.	15/Dec.
Gratus	16/Oct.
Gratus ep. Aug. Praet.	07/Sept.
Gratus ep. Oloron.	25/Sept.;19/Oct.
Gregorii pp. (Tr.)	02/Sept.
Gregorii pp. [III] m.	28/Nov.
Gregorius ep.	06/Sept.
Gregorius ep. Autissiod.	19/Dec.
Gregorius ep. Lingon.	04/Jan.;22/Oct.
Gregorius ep. Lingon. (Tr.)	06/Nov.
Gregorius ep. m.	03/Jul.
Gregorius ep. Nazanz.	11/Jan.;09/Mai.;09/Jan.;12/Jan.
Gregorius ep. Nyss.	10/Mars.
Gregorius ep. Turon.	17/Nov.;16/Nov.
Gregorius pb. m. Spolet.	23/Dec.;22/Dec.
Gregorius pp.	12/Mars.
Gregorius pp. (Ord.)	03/Sept.
Gregorius pp. (Ordin.)	29/Mars.
Gregorius pp. (Tr.)	20/Jul.
Gregorius pp. [II]	11/Fev.
Gualterius ab. Lemovic.	11/Mai.
Guarinus cf.	20/Fev.
Guarinus ep. Praenest.	06/Fev.;05/Fev.
Gudule v.	08/Jan.
Guenailus ab. in Armor.	03/Nov.
Guillelm ep. Biturig. (Tr.)	28/Jul.
Guillelmi abb. Roeskild.	16/Jun.
Guillelmus ab. O. Guill.	09/Fev.;10/Fev.
Guillelmus cf.	21/Avril.
Guillelmus dux mon. Gellon.	29/Mai.
Guillelmus ep. Biturig.	10/Jan.;16/Jan.
Guillelmus ep. Biturig. (Tr.)	04/Jul.
Guillelmus ep. Brioc.	05/Août.;29/Jul.
Guillelmus ep. cf.	07/Avril.
Guimerus ep. Carcass.	13/Fev.
Guingualoeus ab. Landeven.	02/Mars.;28/Avril.;03/Mars.
Gumberti ep. [abb. Anspac.]	15/Jul.
Guntramnus r.	28/Mars.
Hadelini cf.	03/Fev.
Hartmanni ep. Brixin.	23/Dec.
Hartwici ep. Salisb.	05/Dec.
Hedwigis duc. Sles.	19/Nov.
Hedwigis duc. Sles. (Oct.)	22/Oct.
Hedwigis duc. Sles. (Tr.)	25/Août.
Hegesippus cf.	05/Avril.
Helena reg.	07/Sept.;08/Fev.;18/Août.
Helena reg. (Tr. brachii)	27/Avril.
Helena v.	15/Avril.
Helena v. Autissiod.	21/Mai.;22/Mai.
Helene reg.	19/Mai.;19/Août.;20/Mai.
Helene vid. m. in Suec.	31/Jul.;30/Jul.
Helene vid. m. in Suec. (Oct.)	06/Août.
Helenus pb. Rem.	07/Oct.
Helerius m. in Ins. Caes.	15/Jul.
Helisei pph.	14/Jun.
Helladius ep. Autissiod.	08/Mai.
Henrici ep. Upsal. m.	19/Jan.;20/Jan.
Henrici ep. Upsal. m. (Tr.)	18/Jun.
Henrici imp.	18/Jul.
Henrici imp. (Canon.)	12/Mars.
Henrici imp. (Oct.)	20/Jul.
Henricus Baucen.	10/Jun.
Henricus imp.	14/Jul.;13/Jul.
Heraclius ep. Senon.	09/Jul.
Heraclius m. Carthag.	11/Mars.
Herblandus [Hermel-] ab.	18/Oct.
Herculani ep. Perus. m.	06/Nov.;05/Nov.
Herculanus ep. Perus.	10/Nov.;01/Mars.;07/Nov.
Heremita cf.	22/Mars.
Heribertus ep. Colon.	16/Mars.
Hermagoras ep.	12/Jul.;11/Jul.
Hermagore ep.	19/Jul.
Hermanni m.	25/Sept.
Hermenegildus r. in Hispan.	13/Avril.
Hermes m. Rom.	28/Août.;27/Août.
Hermogenis	23/Août.;12/Dec.
Hermolai pb.	22/Jun.
Hermolaus pb.	27/Jul.
Herneus ab. Cenoman.	09/Août.
Herneus mm.	17/Sept.
Herneus mm. (Tr.)	26/Avril.;08/Nov.
Heron ep. Antioch.	17/Oct.
Hervaeus cf. Turon.	17/Avril.
Hieronis pb. m.	17/Août.
Hieronymus ep.	02/Mars.
Hieronymus pb. doct.	30/Sept.;05/Oct.
Hilaria	12/Août.
Hilarii ep. Pictav.	15/Jan.
Hilarinus m. Ost.	16/Jul.
Hilarion ab.	24/Oct.;21/Oct.
Hilarion ep. cf.	31/Jan.
Hilarius	15/Mars.
Hilarius ep. Arelat.	06/Mai.;05/Mai.;07/Mai.
Hilarius ep. Carcass.	02/Jun.
Hilarius ep. cf.	03/Nov.;01/Nov.
Hilarius ep. Gabal.	25/Oct.
Hilarius ep. m. Aquil.	14/Mars.
Hilarius ep. Mogunt.	21/Fev.
Hilarius ep. Pictav.	14/Jan.;12/Jan.;07/Jan.;13/Jan.
Hilarius ep. Pictav. (Tr.)	26/Jun.;27/Jun.
Hilarius mm. Aeduen.	27/Sept.
Hilarius mm. Viterb.	04/Nov.;02/Nov.
Hilarius pp.	10/Sept.
Hildebertus ab. Fontanell.	24/Dec.
Hildebertus ep. Meld.	27/Mai.
Hildetrudis v. in Hannon.	26/Sept.
Himerii solit. Lausan.	12/Nov.
Hippolytus	22/Août.;13/Août.
Hippolytus m.	09/Mai.
Hippolytus m. Antioch.	29/Jan.;30/Jan.
Homobonus cf. Cremon.	13/Nov.
Honeste m.	11/Oct.
Honobertus ep. Senon.	04/Jan.
Honoratus ep. Ambian.	15/Mai.;16/Mai.
Honoratus ep. Arelat.	16/Jan.
Honoratus ep. Arelat. (Oct.)	23/Jan.
Honoratus ep. Tolos.	18/Dec.;22/Dec.
Honorina v. Confluent.	28/Fev.;27/Fev.
Hospitius ab.	15/Oct.
Huarnus ab. in Armor.	17/Jun.
Hubertus mon. Britlan. (Tr.)	30/Mai.
Hugo ab. Cluniac. (Tr.)	29/Avril.;13/Mai.
Hugo ep.	07/Fev.;04/Mai.;12/Fev.
Hugo ep. Gratianop.	01/Avril.;04/Avril.
Hugo ep. Lincoln.	17/Nov.
Hugo ep. Rotomag.	08/Avril.;09/Avril.
Hugo ep. [Gratianop.? Rotomag.?]	06/Avril.
Humbertus ab. Maricol.	06/Sept.;20/Mars.
Hunfredus ep.Morin.	08/Mars.
Hyacinthi Poloni cf. O.P.	26/Août.
Hyacinthus	05/Sept.
Hyacinthus m.	26/Jul.
Hyacinthus mm. Rom.	11/Sept.
Hyginus pp.	11/Jan.
Iacob patr.	06/Oct.
Iacobi ap. (Oct.)	08/Mai.;31/Jul.
Iacobus (Ded. eccl.)	04/Mai.
Iacobus ap.	25/Jul.
Iacobus app.	01/Mai.
Iacobus ep. Tarentas.	16/Jan.
Iacobus fr. Domini (Tr.)	30/Dec.
Iacobus Interc. m. in Pers.	27/Nov.;28/Nov.
Iacutus ab. in Armor.	05/Jul.
Ianuarii m.	08/Oct.
Ianuarius	20/Sept.
Ianuarius ep.	18/Sept.;19/Sept.
Ianuarius etc. mm. Cordub.	13/Oct.
Ianuarius mm. in Afr.	11/Jan.
Iason	03/Dec.
Ignacii ep. Antioch. m.	04/Fev.
Ignatius ep. Antioch. m.	16/Dec.;01/Fev.;20/Dec.;17/Dec.
Ignatius m.	30/Oct.
Ildefonsus ep. Tolet.	23/Jan.
Ildefonsus ep. Tolet. (Tr.)	28/Mai.
Illuminata v. m. Tudert.	29/Nov.
Ingelrannus ab. Centul.	04/Dec.
Ingenuini ep. Sabion.	05/Fev.
Innocentes mm.	28/Dec.
Innocentia v. Burdigal.	05/Sept.
Innocentii pp. m.	28/Jul.
Innocentium m. (Oct.)	04/Jan.
Innocentius ep. Dorton.	18/Avril.
Innocentius ep.Veron.	12/Mars.
Innocentius m. Rom.	24/Avril.
Ioachim patr.	10/Dec.;16/Sept.;27/Jul.;09/Dec.;22/Mars.
Ioannes	26/Jun.
Ioannes ab. Reom.	28/Jan.
Ioannes Bapt. (Concept.)	24/Sept.
Ioannes Bapt. (Inv. cap.)	24/Fev.
Ioannes Brinthelt.	10/Oct.
Ioannes Calyb.	22/Jan.
Ioannes Chrysost. ep.	13/Nov.;14/Nov.
Ioannes Eleemosyn.	13/Jul.
Ioannes ep.	20/Mars.
Ioannes er. Faesul.	18/Mars.;19/Mars.
Ioannes ev.	27/Dec.;06/Mai.
Ioannes m. Nicomed.	07/Sept.
Ioannes m. Rom.	23/Jun.
Ioannes mm. in Aeg.	31/Jan.
Ioannes Pius ep. Arelat.	12/Nov.
Ioannes Pius ep. Arelat. (Oct.)	19/Nov.
Ioannes pp. [I] m.	27/Mai.
Ioannes pp. [VI]	12/Jan.
Ioannis Elemosyn. ep.	03/Fev.
Iob pph.	15/Nov.;10/Mai.
Iohannes Bapt.  (Inv. cap.)	11/Mars.
Iohannes Bapt. (Decoll.)	29/Août.
Iohannes Bapt. (Nativ.)	24/Jun.
Iohannis Bapt. (Nativ., oct.)	01/Jul.
Iohannis Bapt. (Present. reliq.)	21/Nov.
Iohannis ep. Holum. (Tr.)	03/Mars.
Iohannis ev. (Commem.)	25/Jun.
Iohannis ev. (Oct.)	13/Mai.
Iohannis Gualberti abb. Vallumbr.	12/Jul.
Ionius pb. m. Paris.	05/Août.
Ioseph Iusti [Barsabbe]	30/Jul.;20/Jul.
Iovinianus m. Autissiod.	05/Mai.
Iovinus	02/Mars.
Iovinus pb. Rem.	30/Sept.;03/Oct.
Iovita mm. Brix.	15/Fev.
Irenaeus	28/Jun.;27/Jun.
Irene v. m. Thessalon.	05/Avril.
Irenei etc. m.	11/Fev.;10/Fev.
Irmine v. Trever.	24/Dec.
Isaac mon.	11/Avril.
Isidorus ep. Hispal.	04/Avril.;03/Avril.
Isidorus ep. Hispal. (Tr.)	22/Dec.
Isidorus ep. Nitr.	15/Jan.;20/Nov.;02/Jan.;03/Jan.
Isidorus m. in Aeg.	01/Jan.
Isidorus m. Matrit.	15/Mai.
Iubini ep.	09/Mars.
Iucundianus m.	04/Jul.
Iudas app.	28/Oct.
Iude ap. (Oct.)	04/Nov.
Iudoci pb.	10/Jun.;12/Oct.
Iudocus er. in p. Pontiv.	12/Dec.;13/Dec.;14/Dec.
Iulia m.	17/Mai.
Iulia v. m. in Corsica	23/Mai.
Iulia v. m. Trec.	21/Jul.
Iuliana m. in Paphlag.	24/Mars.
Iuliana v.	21/Mai.
Iuliana v. m. Nicomed.	16/Fev.
Iuliana v. [m. Rom.?]	22/Mai.
Iuliani ep. Cenoman.	26/Jan.
Iuliani lev. m.	22/Jun.
Iuliani m.	30/Août.;02/Dec.;27/Août.
Iuliani m. Alexand.	20/Fev.;13/Fev.
Iulianus	19/Fev.;09/Jan.;07/Jan.;13/Jan.;18/Fev.
Iulianus ep.	24/Jul.
Iulianus ep. Cenoman.	27/Jan.;29/Jan.
Iulianus ep. Tolet.	06/Mars.
Iulianus m. Brivat.	04/Sept.;31/Août.;28/Août.;26/Août.
Iulianus m. vel Hosp.	12/Fev.
Iulianus m. [Afr.?]	26/Mai.
Iulianus m. [ep.? diac.?]	17/Jun.
Iulianus m. [Laodic.?]	26/Jul.
Iulianus mm. Bellovac.	15/Oct.;08/Jan.
Iulianus mm. Terracin.	01/Nov.;31/Oct.;02/Nov.
Iulii	05/Dec.
Iulitta mm. Nicomed.	15/Jul.
Iulitta mm. Tars.	16/Jun.
Iulius cf.	17/Fev.
Iulius ep.	24/Mai.
Iulius m. Caesaraug.	16/Avril.
Iulius m. in Thrac.	19/Dec.
Iulius pp.	13/Avril.;12/Avril.
Iunianus ab. Pictav.	13/Août.;12/Août.
Iunianus mon. Lemovic.	16/Oct.
Iusta	17/Jul.
Iusta vv. mm. Hispal.	19/Jul.
Iusti	11/Oct.;05/Jun.
Iustina mm. Nicomed.	26/Sept.
Iustina v. m. Patav.	07/Oct.
Iustini	18/Jul.
Iustinianus cf. Lemovic.	16/Jul.
Iustinus m.	23/Mars.
Iustinus m. Rom.	01/Jun.
Iustinus pb.	01/Août.
Iustinus pb. m. Rom.	08/Août.;04/Août.
Iustinus pb. Trec.	25/Sept.;28/Sept.
Iustus	25/Août.;27/Fev.;06/Août.;23/Août.;07/Août.;25/Fev.
Iustus cf. Biturig.	14/Jul.
Iustus ep. Lugdun.	14/Oct.;02/Sept.
Iustus m. Autissiod.	18/Oct.;19/Oct.;21/Oct.
Iustus m. Biturig.	26/Nov.
Iustus mm. in Afr.	23/Fev.
Iustus [soc. Reverentii?]	12/Sept.
Iuvenalis ep. Narn.	03/Mai.
Iuvenalis m. Benev.	07/Mai.
Iuventius ep. Ticin.	08/Fev.
Ivo cf. Trecor.	18/Mai.;20/Mai.;19/Mai.
Ivo cf. Trecor. (Recept. costae)	08/Jul.
Ivo cf. Trecor. (Tr.)	27/Oct.;29/Oct.
Juliani	08/Jan.
Kenelmus r. m.	17/Jul.
Ketilli cf.	11/Jul.
Kiliani	25/Mars.;12/Jul.;15/Jul.
Kilianus ep. Herbipol. m.	08/Jul.;09/Jul.
Kilianus m. Atrebat.	13/Nov.
Ladislai r. Hungar.	27/Jun.
Ladislaus r. Hungar.	23/Jun.
Lamberti ep. Frising.	19/Sept.
Lamberti ep. Leod. m.	18/Sept.
Lamberti ep. Leod. m. (Tr.)	28/Avril.
Lambertus ep. Traiect.	17/Sept.
Lambertus ep. Traiect. (Tr.)	23/Dec.
Lambertus ep. Vinc.	26/Mai.
Lampasius	19/Fev.
Landelini abb.	28/Nov.
Landelinus ab. in Hannon.	15/Jun.
Landricus ep. Paris.	10/Jun.
Landulfus ab. Pictav.	13/Août.
Largentinus m.	04/Jun.
Largus	08/Août.
Latuinus ep. Sag.	20/Jun.
Laudus ep. Constant.	21/Sept.
Laudus ep. Constant. (Tr.)	22/Oct.
Launomarus ab. Curbion.	19/Jan.;20/Jan.
Laureanus ep. m.	03/Jul.
Laurentii m. (Oct.)	17/Août.
Laurentius	03/Jun.
Laurentius d. m. Rom.	10/Août.
Laurentius ep. Dublin.	14/Nov.;13/Nov.;12/Mai.
Laurentius ep. Dublin. (Tr.)	10/Mai.
Laurinus m. in Ital.	29/Mars.
Lautenus ab. Maximiac.	02/Nov.
Lazari ep. m.	04/Sept.;15/Dec.
Lazarus ep. Massil.	31/Août.;18/Dec.;16/Dec.;17/Dec.
Lazarus ep. Massil. (Oct. revel.)	27/Oct.
Lazarus ep. Massil. (Revel.)	20/Oct.
Leander ep. Hispal.	13/Mars.;06/Avril.
Lebuini cf.	25/Jun.
Lecterius	03/Oct.
Legontius ep. Mett.	18/Fev.;16/Jun.
Leo ab. Calabr.	01/Mars.
Leo ep. Senon.	22/Avril.
Leo pp. [?]	12/Mars.;11/Mars.
Leo pp. [II]	04/Jul.;28/Jun.
Leo pp. [IV]	16/Jul.
Leo pp. [IX]	19/Avril.
Leo pp. [I]	11/Avril.;12/Avril.;10/Avril.
Leobardus recl. Turon.	18/Jan.
Leobatius ab. Turon.	24/Jan.
Leobinus ep. Camerac.	14/Mars.
Leobinus ep. Carnot.	15/Sept.
Leobonus cf. Lemovic.	12/Oct.;13/Oct.
Leocadia v. m. Tolet.	09/Dec.
Leocadius ep. Auscit.	23/Oct.
Leodegarius ep. Aeduen.	05/Oct.
Leodegarius ep. Augustod.	02/Oct.
Leodegarius ep. Xanton.	12/Nov.
Leonardi abb.	07/Nov.
Leonardus	10/Sept.
Leonardus ab. Corbiniac.	15/Oct.
Leonardus cf.	16/Août.
Leonardus disc. s. Remigii	10/Nov.;05/Nov.;06/Nov.
Leonardus ep. cf. [= Leander?]	27/Fev.
Leonardus er. Dunen.	08/Dec.
Leonis pp. [I]	09/Avril.
Leonorius ep. in Armor.	02/Jul.;01/Jul.
Leontius cf.	16/Oct.
