Abdon	30/Jul.
Apollinaris ep. Valent.	05/Oct.
Apollinaris mm. Rem.	23/Août.
Apollonia	22/Dec.
Apollonia v. m. Rom.	09/Fev.;13/Fev.
Apollonius	05/Avril.;08/Mars.
Apollonius m. Alexand.	10/Avril.
Aposthemius ep. Turon.	20/Nov.
Apulei m.	07/Oct.
Aquila	18/Jan.;08/Jul.
Aquilinus ep. Ebroic.	19/Oct.
Aquilinus m. [Noviom.?]	16/Mai.;27/Mai.;14/Mai.
Arbogasti ep. [=Armogasti]	29/Mars.
Arbogastus ep. Argentin.	21/Jul.;20/Jul.
Arcadius m. in Maurit.	13/Jan.
Aredius ab. Atanac.	25/Août.
Aredius ep. Lugdun.	10/Août.
Arimalis cf.	09/Oct.
Arnulfus ep. Mett.	12/Jul.;11/Jul.;18/Jul.
Arnulfus ep. Vapinc.	19/Sept.
Arsenius ab.	19/Jul.
Arthemius ep. Senon.	28/Avril.
Arthemius m. Rom.	06/Jun.
Asclepius ep. Lemovic.	23/Dec.
Asterius mm. Caesar.	03/Mars.
Asterius pb. m. Ost.	21/Oct.
Athanasius ep. m. Alexand.	02/Mai.
Auctor ep. Mett.	09/Août.
Audentii cf.	25/Nov.
Audomari ep. Morin.	10/Sept.
Audomarus ep.	17/Sept.;09/Sept.
Augendus	12/Jan.
Augustinus ep. Cantuar.	19/Mai.
Augustinus ep. Cantuar. (Depos.)	26/Mai.
Augustinus ep. Hippon.	28/Août.
Augustinus ep. Hippon. (Conv.)	07/Mai.
Augustinus ep. Hippon. (Oct.)	04/Sept.
Augustinus ep. Hippon. (Tr.)	28/Fev.;27/Fev.
Aunarius ep. Autissiod.	25/Sept.
Aurea ab. Paris.	04/Oct.
Aurea v. m. Ost.	24/Août.
Aurelianus ep. Arelat.	16/Jun.
Aurelius mm. Cordub.	27/Août.
Aurelius mm. Cordub. (Tr.)	20/Oct.
Ausonius ep. Engolism.	21/Mai.
Auspicius ep. Apt.	02/Août.
Austreberta v.	10/Fev.
Austregisilus ep. Biturig.	20/Mai.;15/Fev.
Austremonius ep. Arvern.	03/Nov.
Autbertus ep. Abrinc.	18/Jun.
Autbertus ep. Camerac. (Tr.)	24/Jan.
Auxentius mm. in Armen.	13/Dec.
Aventinus diac. Turon.	05/Mai.
Avitus ab. Miciac.	19/Dec.
Babolenus ab. Fossat.	26/Jun.
Babolenus ab. Fossat. (Tr.)	07/Dec.;06/Dec.
Babylas ep. Antioch.	24/Jan.
Bacchus etc. mm.	07/Oct.
Balbina v. Rom.	28/Août.;31/Mars.
Baldomerus subd. Lugdun.	27/Fev.
Baldus ep. Turon.	07/Nov.
Balsemius m. Trec.	16/Août.
Banti cf. Trever.	31/Jul.
Baomadus ab. Biturig.	05/Août.;04/Août.
Baomadus ab. Biturig. (Tr.)	12/Jul.
Baomirus ab. Cenoman.	04/Nov.
Barbara v. m. Nicomed.	05/Dec.;16/Dec.;04/Dec.
Barbara v. m. Nicomed. (Tr.)	12/Fev.
Barbare v. m. (Oct.)	11/Dec.
Barbare v. m. (Tr.)	08/Jul.
Barbatus ep. Benev.	19/Fev.
Barnabas ap.	11/Jun.
Bartholomaeus ap.	24/Août.
Bartholomaeus ap. (Tr.)	17/Jun.
Bartholomei ap. (Oct.)	31/Août.
Barulas mm. Antioch.	18/Nov.
Basilia v. m. Rom.	19/Mai.
Basilianus mm. Laodic.	18/Dec.
Basilides	10/Jun.;12/Jun.
Basilii Magni ep.	16/Jun.
Basilissa mm. Antioch.	07/Jan.;09/Jan.
Basilisse m.	08/Jan.
Basilius  ep. Caesar. (Oct.)	22/Jan.
Basilius ep. Antioch.	22/Dec.
Basilius ep. Caesar.	15/Jan.;01/Jan.;14/Jun.
Basini ep. Trever.	04/Mars.
Basolus cf. Rem	26/Nov.
Basolus cf. Rem.	15/Oct.
Bathildis ab. Mogunt.	27/Nov.
Bathildis reg.	30/Jan.
Bathildis reg. v.	26/Jan.
Baudilius m. Nemaus.	21/Mai.;20/Mai.
Baudus cf. Senon.	29/Sept.;29/Oct.
Beati cf. Trever.	26/Jul.
Beatus cf. Vindocin.	09/Mai.
Beda pb.	26/Mai.
Bede pb.	28/Mai.;27/Mai.
Benedicta mm. Rom.	27/Jun.
Benedicta v. Laudun.	08/Oct.
Benedicti abb. (Depos.)	20/Mars.
Benedicti abb. (Oct.)	28/Mars.
Benedictus ab. (Oct. tr.)	18/Jul.;17/Jul.
Benedictus ab. (Reliq. exc.)	02/Oct.
Benedictus ab. (Tr.)	21/Mars.;03/Dec.
Benedictus ab. (Tr.).	11/Jul.
Benedictus ep. Andegav.	15/Jul.;14/Jul.
Benedictus ep. Asern.	25/Avril.
Benedictus Quinciac. ep.	23/Oct.
Benigna v. m.	22/Oct.
Benigni ep. m.	28/Jun.
Benigni m.	08/Nov.
Benignus cf.	01/Oct.
Benignus m.	02/Avril.
Benignus m. Divion.	02/Nov.;03/Nov.;01/Nov.;25/Oct.;30/Oct.
Benignus m. Divion. (Tr.)	26/Avril.;24/Nov.
Benignus mm. Tom.	03/Avril.
Berardus	16/Jan.
Bernardi abb. Clarevall.	12/Août.;18/Août.
Bernardi abb. Clarevall. (Oct.)	27/Août.
Bernardus ab. Clarevall.	26/Août.;21/Août.;20/Août.;25/Août.;22/Août.
Bernardus ep. Campan.	17/Mars.
Bernardus ep. Vienn.	23/Jan.
Beronicus	19/Oct.
Berthodus ep. Autissiod. [!]	02/Mars.
Bertinus ab. (Depos.)	05/Sept.
Bertramnus ep. Cenoman.	30/Jun.
Bertrandus ep. Conven.	16/Oct.
Bertrandus ep. Conven. (Revel.)	02/Mai.
Bertuini cf.	11/Nov.
Bertulfus ab. Bobb.	19/Août.
Berwardi ep. Hildesh.	14/Nov.
Betharius ep. Carnot.	01/Août.
Bibiana v. m. Rom.	02/Dec.
Bilhildis abb. Mogunt.	28/Nov.
Birgitte vid. r.	27/Jul.
Blandina etc. mm. Lugdun.	02/Jun.;01/Jun.
Blandus	17/Oct.
Blasii ep. Sebast. m. (Oct.)	10/Fev.
Blasius ep. m.	03/Fev.;14/Fev.;15/Fev.
Bodonis ep. Tull.	11/Sept.
Bonaventure ep. Alban. O.F.M. (Tr.)	14/Mars.
Bonifacius ep.	03/Jul.
Bonifacius ep. Mogunt.	05/Jun.;04/Sept.
Bonifacius ep. [Calarit.?]	10/Dec.
Bonifacius m. Tars.	14/Mai.
Bonitus ep. Arvern.	23/Jun.
Bonitus ep. Arvern. (Tr.)	06/Jun.
Bonosa v. m.	16/Jul.
Bonosa v. Pisan.	12/Sept.
Bonosii ep. Trever.	17/Fev.
Botvidi m.	28/Jul.
Brandanus ab. in Armor.	15/Mai.;17/Mai.;16/Mai.
Brettive v.	11/Jan.
Brictius ep. in Umbr.	09/Jul.
Brictius ep. Turon.	20/Nov.;13/Nov.
Brigida v. (Tr.)	06/Oct.
Brigida v. Kildar. [vel Fesulis]	01/Fev.
Brigitte reg. Suecie	23/Jul.;24/Jul.
Brigitte vid. reg. Suec.	20/Jul.
Brinolfi ep. Skar.	06/Fev.
Brinolfi ep. Skar. (Tr.)	17/Août.
Briocus ep. in Armor.	01/Mai.
Britonis ep. Trever.	05/Mai.
Bruno Cartus.	05/Oct.
Brunonis ep. Colon.	11/Oct.
Burchardi ep. Herbipol.	12/Oct.
Burchardus ep. Herbipol.	14/Oct.
Caecilia v. m. Rom.	22/Nov.
Caecilia v. m. Rom. (Sponsal.)	15/Jan.
Caelestinus pp.	08/Avril.;06/Avril.
Caesarius	01/Nov.;31/Oct.;02/Nov.
Caesarius ep. Arelat.	28/Août.
Caesarius ep. Arelat. (Oct.)	03/Sept.
Caius ep. Mediolan. (Tr.)	13/Avril.
Caius mm. Alexand.	10/Mars.
Caius pp.	19/Avril.;26/Fev.;24/Avril.;22/Avril.
Caletricus ep. Carnot.	07/Oct.
Calimerus ep. Mediolan.	31/Jul.
Calixti pp. m.	09/Avril.
Calixtus m. Corinth.	15/Avril.;16/Avril.
Calixtus pp. m.	28/Fev.;14/Oct.;20/Fev.
Callinicus mm.Asia	28/Jan.
Calminus dux Aquitan.	19/Août.
Calocerus	19/Mai.;18/Mai.
Camilla v. Autissiod.	03/Mars.
Candidi ep. m. (Tr.)	23/Mai.
Candidus m. Rom.	04/Oct.
Cannatus ep. Massil.	15/Oct.
Cannatus ep. Massil. (Oct.)	22/Oct.
Cantius	31/Mai.;30/Mai.
Canuti Lavardi duc. m. (Tr.)	25/Jun.
Caprasius m. Aginn.	20/Oct.
Caraunus m. Carnot.	27/Mai.;28/Mai.
Carissima v.	07/Sept.
Caritas	02/Août.;15/Mai.;01/Jul.;01/Août.;29/Août.
Caroli Magni imp.	05/Mars.
Carolus imp.	27/Jan.
Carolus r.	06/Oct.
Carpofori m.	20/Août.
Carponius mm. Capuan.	27/Août.
Carpophori	10/Dec.
Cassiani m.	01/Fev.
Cassianus	12/Jan.
Cassianus ab.	16/Jul.;23/Jul.
Cassianus ep. Aeduen.	05/Août.;04/Août.
Cassianus ep. For. Syll.	13/Août.
Cassianus m.	20/Mai.
Cassianus m. in Maurit.	03/Dec.
Cassius	16/Mai.
Cassius ep. [Narn.?]	13/Oct.
Cassius mm. Nicomed.	07/Mars.;06/Mars.
Castor ep. Apt.	20/Sept.
Castor m. Confluent.	13/Fev.
Castuli m.	27/Mars.
Castulus m. Rom.	26/Mars.;28/Mars.
Castus	22/Mai.
Catharina Sen. OP	30/Avril.;07/Mai.
Catharina v. m. Alexand.	25/Nov.
Catharine v. (Tr.)	05/Jul.
Ceadda ep. Londin.	02/Mars.
Celestini pp. m.	07/Avril.
Celsi ep. Trever.	23/Fev.
Celsus etc. mm. Mediolan.	29/Jul.;28/Jul.
Celsus etc. mm. Mediolan. (Tr.)	06/Nov.
Celsus mm. in Aeg.	13/Jan.
Cerbonius ep. Veron.	11/Oct.;10/Oct.;17/Oct.
Ceremonius ep. m. Nicopol.	22/Dec.
Cesarie v.	04/Fev.
Cessator ep. Lemovic.	15/Nov.
Chionia mm. Heracl.	01/Avril.
Christeta mm.	27/Oct.
Christianus m. Ascul.	13/Mai.
Christina v. m.	05/Dec.;05/Oct.;24/Jul.
Christophori m.	26/Jul.
Christophorus m.	25/Jul.;10/Jul.;19/Jul.
Chrysanthi mauri	28/Nov.
Chrysanthiani	17/Fev.
Chrysanthus	01/Dec.;25/Oct.;02/Dec.;26/Oct.;29/Nov.
Chrysogonus m. Aquil.	24/Nov.
Circumcisio Domini	01/Jan.
Citius	16/Août.
Clara v.	12/Août.
Clara v. (Tr.)	02/Oct.
Clarius ep. m. [= Lazarus?]	19/Dec.
Clarus ab. Vienn.	02/Jan.;04/Jan.
Clarus ep. Lactur.	05/Mai.;05/Nov.;01/Jun.
Clarus ep. Lactur. (Tr.)	29/Mai.
Clarus m. Vilcass.	04/Nov.
Clarus m. Vilcass. (Tr.)	18/Jul.
Claudianus ep. m. Nicomed.	05/Avril.
Claudius	30/Oct.
Claudius ep.	08/Mai.
Claudius ep. Bisunt.	05/Jun.;06/Jun.
Clemens m.	07/Jan.
Clemens pp. m.	23/Nov.
Clemens pp. m. (Cap. exc.)	27/Jul.
Clemens [?]	24/Août.
Clementinus	14/Nov.;20/Jul.
Clementis m.	30/Août.
Clementis pp. m. (Tr.)	23/Jan.
Cleophas disc.	25/Sept.
Cleti pp. m.	29/Avril.
Cletus pp. m.	26/Avril.;12/Oct.;13/Jul.;12/Jul.
Cletus [pp. m. ?]	26/Nov.
Clodulfus ep. Mett.	11/Dec.
Clotildis reg.	03/Jun.
Colmanni etc. m. (Adv.)	25/Mars.
Columba v. m. Senon.	31/Dec.
Columbani abb. Bobbien.	09/Jun.
Columbanus ab. Bobb.	20/Nov.;21/Nov.
Columbanus pb.	19/Oct.
Conanus m.	17/Jun.
Concessa v. Tarbell.	10/Mai.
Concordii m.	16/Dec.
Consortia v. Cluniac.	23/Jun.;22/Jun.
Consortia v. Cluniac. (Tr.)	13/Mars.
Constantia v.	18/Fev.;24/Sept.
Constantii ep. Perus. m.	30/Jan.
Constantinus ep. Vapinc.	12/Avril.
Constantinus imp.	21/Mai.
Constantius m. Perus.	29/Jan.
Contestus ep. Baioc.	20/Jan.
Copres mm. in Aeg.	15/Dec.
Corbiniani ep. m.	08/Sept.
Cordula v. m.	21/Oct.
Corentinus ep. Corisopit.	01/Mai.;12/Dec.
Cornelii pp.	13/Sept.
Cornelius pp.	15/Sept.;02/Mai.;14/Sept.;15/Mars.
Corona Domini	16/Sept.;04/Mai.
Corona Domini (Susc. Paris.)	11/Août.
